pdes,a,e,M,w,per
588,5.205918324800839,.1470424681017484,138.597022350481,133.5794630628248,11.8782983017795
617,5.217631288161847,.1387283693782574,103.7387700621183,308.5017633242159,11.918408891238
624,5.252597071273332,.02444697441922712,72.22810363752731,183.5753669708357,12.0384156201171
659,5.18114451604008,.1165210569644986,242.2082206109467,341.6551863913062,11.7936099811553
884,5.182339859960497,.1214295709120864,190.6056871967643,335.7364465075648,11.7976915792523
911,5.27351264478161,.06600130492544588,170.1766483363689,81.56435899865463,12.1103916877851
1143,5.248880889707172,.0897484411983754,117.812464972011,236.9460060136374,12.0256422175813
1172,5.217849631843992,.1035007086804051,171.6426770621016,51.32325533356041,11.9191570285718
1173,5.300320790292782,.1368513232196046,119.2906330790515,40.91054382718077,12.2028545539841
1208,5.250215739190002,.09192059049087513,122.8558063287432,296.685008588676,12.0302298934593
1404,5.303753897631469,.112699575836639,182.0623454312673,60.09943689036383,12.2147124662493
1437,5.193049785043887,.04442335612683939,167.1413349660696,131.6152453962068,11.8342824786825
1583,5.127350018914155,.05182044238655489,188.1743490928902,188.0770657437287,11.61041252229
1647,5.215563330957469,.02251937544115117,34.68601951200294,299.0979538698495,11.9113239759143
1749,5.148874002183155,.107413644835663,121.7879318191036,113.284838536694,11.683597814557
1867,5.128583682105124,.04316567646757889,178.2962015662142,359.8571203457118,11.6146030495716
1868,5.320157479156499,.1086882219345059,213.1403927748846,169.6920235712426,12.2714232071698
1869,5.229815119254672,.06595442318449789,198.0358131252881,321.1377266017512,11.9601797481306
1870,5.248173983240662,.03185532744577112,148.7212759563013,131.3954716952364,12.0232129231671
1871,5.252965498918003,.03247501485168,119.6331670871018,164.0579337574042,12.0396822400842
1872,5.318258662964396,.04762274202508963,162.4963186197572,116.3276432452911,12.2648541071152
1873,5.236512325491317,.09223657719812291,255.1153855108878,356.5976298334971,11.9831610849524
2146,5.194699202270889,.1010376722868825,171.2416457262803,273.6493734582608,11.8399211361407
2148,5.214137881803062,.05675032533289927,176.5548894076958,232.2231954366823,11.9064411400323
2207,5.13860764630466,.01685850883823956,11.99346374039962,298.4008487418533,11.6486712960567
2223,5.230595661111966,.01521050244339746,194.4913760192457,57.95736545823748,11.9628574056626
2241,5.187103433461959,.06698354230908485,247.9785402635526,290.9308002601433,11.8139618601503
2260,5.195193544149051,.04332633051161676,175.2667502013549,321.3186026627997,11.8416112555878
2357,5.208980130238736,.04413056580472934,212.6590982170413,74.88956672419717,11.8887789844532
2363,5.198847499184527,.03536797653689893,211.0040759848941,56.54081988554906,11.854106359544
2456,5.129736772348648,.07370587557429445,157.743232253154,95.38584149330352,11.6185203410843
2594,5.065249896135915,.08390486538110516,172.5726131367676,279.4079066775407,11.4001224650178
2674,5.181116110378304,.06769540208313381,244.8012679637383,39.21655797545462,11.7935129934619
2759,5.181472356972492,.06659515538647862,51.01319936070202,8.497367406745372,11.7947293735722
2797,5.102608508769222,.08822252562667007,105.3798169354813,49.11220413583359,11.5264766712313
2893,5.154374184580088,.07547028947923506,166.4208691790342,171.834178842134,11.7023239702895
2895,5.237180750848429,.05039162654398099,55.14317408844958,276.4797119105981,11.9854555809354
2920,5.108057952902369,.02609936034453592,151.0923235562607,199.2443850035245,11.5449465356699
3063,5.205306291436176,.0595066953217239,101.689931447253,205.4496474808313,11.8762036565853
3240,5.238647292752868,.1262244409697607,138.1812616847853,15.76577366081736,11.9904902754049
3317,5.223472705524829,.1261455347945352,179.1349939114743,150.2020522077112,11.938429436701
3391,5.302237159116292,.08238711730937803,135.4258282648344,103.5442568692526,12.2094731959282
3451,5.128587143154652,.07042506472599386,166.8304390330636,133.0758386781935,11.6146148068302
3540,5.270868714355751,.1179822380971778,89.44591349624298,116.440992155121,12.101285323127
3548,5.18828402218376,.08922913704625093,170.2610092483116,28.1236674794106,11.8179953898144
3564,5.207292130344626,.04090893885916958,345.1506949276293,203.3405257881557,11.8830005121029
3596,5.16566454057215,.07335120645185172,172.5994309522093,67.1570850852024,11.7407949052425
3708,5.217488427968706,.1583327865001871,109.9443759345248,57.99349117110745,11.9179194005724
3709,5.243570044248539,.06008462942283895,136.5303774747936,247.1317454506694,12.007395422435
3793,5.21190217604074,.08990471797394707,128.304160653829,263.1543640292944,11.8987841372761
3794,5.206159168102158,.1454657404263778,207.1295564620494,35.44764242394142,11.8791226063938
3801,5.324470594891611,.02212244498889043,164.332851298345,207.0347409394909,12.2863491171568
4007,5.172819856083141,.05618128728579923,146.0185424994787,78.41547200012906,11.7651978188105
4035,5.28487860474788,.05585066623269975,147.5134262950892,198.2860598574609,12.1495649229826
4057,5.262261185871171,.1181946624290253,131.8483193685275,59.11808597944431,12.0716546416422
4060,5.246653691120987,.1543202073583086,100.9871685612688,307.5035673176794,12.0179889713402
4063,5.182276403366268,.1182580651515059,157.4770995589506,318.683018063542,11.7974748897677
4068,5.150090431385588,.07333025807817492,74.10960518311613,317.6616734584569,11.6877384603417
4086,5.256158623901086,.1206767716573145,188.7624346291641,357.0760122958576,12.0506617673183
4138,5.162120331608551,.04291302299578483,215.5324906125471,164.7667420392046,11.728713780393
4348,5.240645387446198,.09798334067971298,75.91561377284674,160.4358984749221,11.9973509451539
4489,5.224202070526166,.05753727705232926,107.110064723262,8.020760807312415,11.9409300077904
4501,5.204961406636572,.05260876369536001,173.9044774166537,181.0954599557225,11.8750233645786
4543,5.120144331144251,.09569589536975769,191.9395336253503,85.41811303276218,11.5859461974224
4707,5.185715899797168,.1234140941598458,89.67032826508952,66.79391610423598,11.8092218813538
4708,5.261362325607514,.05965709124270437,57.55522667756093,104.7455076981357,12.0685617885176
4709,5.239467708100991,.02202654288399851,135.7717316266785,89.15473541660124,11.993307100104
4715,5.108577871527094,.04955949596117081,111.4626152665108,346.2644445762243,11.5467092169617
4722,5.206950609286197,.1120637383690512,74.77013646890769,315.8004145640605,11.8818315086356
4754,5.23750943213769,.01039425024209125,118.8105005152228,202.9199891332932,11.9865838950956
4791,5.162632842007562,.0468181706181725,24.56462975539228,165.8195146132711,11.7304605152394
4792,5.261701591375691,.09090157682415498,108.4742588413601,284.1476937844554,12.0697291237923
4805,5.212175320477429,.09038548339745298,78.18230455283165,90.85523421067143,11.8997195335564
4827,5.117024861475175,.04619631702736361,51.81904362823087,169.674797560394,11.575359629954
4828,5.167716356588586,.04311892197917234,328.8287482571229,128.994683827032,11.7477908133681
4829,5.143814360412114,.05026943338200027,129.9608124889367,124.7792305042713,11.6663803720975
4832,5.266108676738898,.1405855850592808,119.2050909295602,210.0504681244005,12.084896307524
4833,5.245619097580442,.09167654219907867,189.5211007028389,279.4789922187018,12.0144343854509
4834,5.220720104292026,.1349155985811866,143.6777489586401,351.9968747420319,11.928993930538
4835,5.192625489884334,.2513784299110797,109.4718059629459,355.312801769113,11.8328321383965
4836,5.202649044261253,.1087706012250329,118.7076416743742,34.73553387725933,11.8671108254409
4867,5.160406925502359,.01680787945454561,212.9867939003505,277.6917608906841,11.7228747895731
4902,5.204740011857609,.04216035256409267,136.7474329948049,271.5866757456462,11.8742657104837
4946,5.319552114547729,.05066542211216996,316.923045901625,204.4394765079032,12.2693287746237
5012,5.271693683871075,.0850919894489397,211.0158129021045,333.5592960815979,12.1041264815721
5023,5.179433315972696,.05064527721661199,176.4771781314022,84.85400984506175,11.7877677701233
5025,5.200594875082889,.0743264368259258,154.4804888391731,73.56392114343299,11.8600832573535
5027,5.305455571336567,.06459349495387674,154.8069159576773,344.9879412945847,12.2205914500454
5028,5.263174666476537,.1297218558360134,166.8090261228285,11.60707434372463,12.0747980719688
5041,5.179489294463851,.03649613579275394,105.2609050204967,106.689383438102,11.7879588711174
5119,5.200836143798701,.1086393947195132,127.6731011458393,17.32665111847092,11.8609085956984
5120,5.279224637145369,.1100916525483204,132.7483082476263,23.97359497284871,12.1300730266748
5123,5.23138560511393,.1016290375064591,106.8871726668961,32.46883867541871,11.9655675207767
5126,5.240241973309571,.02542398457035477,113.9540416612469,353.6068003629244,11.9959656745986
5130,5.21560876467114,.009842636126239469,81.7156502267575,111.4373131861054,11.9114796187933
5144,5.204901780626107,.2710791992929275,148.9508713379657,331.4079430859072,11.8748193116998
5209,5.185467826572522,.05005013668494159,180.2970064875516,106.6541473673068,11.8083745007491
5233,5.14379226386505,.04484145783455942,271.374648563033,43.19159022958589,11.6663051983758
5244,5.170644084532062,.02747485679691376,251.2037737807085,125.3867341858447,11.7577756511755
5254,5.237126856890795,.120368931363278,155.5025859966119,343.3792354980156,11.9852705743438
5257,5.16735722670947,.03196629545527153,236.2613130535469,85.73801003566102,11.7465662175012
5258,5.180176195757086,.07567933807478285,88.48970174033354,230.8684329916464,11.7903039187236
5259,5.199687322884943,.07318509791752624,320.9685438090173,199.6202956226202,11.8569788504682
5264,5.205845607019664,.1114251040553864,100.780659222298,359.6457621877942,11.8780494233608
5283,5.201496210290725,.148751480693473,152.9581703679189,356.383366052216,11.8631666662794
5284,5.22373735592935,.08320695408348286,137.2834526820197,343.5871949244728,11.9393367498174
5285,5.168917608018785,.04906838960677547,204.9129231653948,258.2576974533062,11.7518872661167
5436,5.199630810196938,.07746655856029641,107.2569206314095,221.5557361315013,11.8567855500202
5476,5.109556434361617,.07246807631213559,166.2601265381804,95.97302775941178,11.5500270840468
5511,5.243294711226521,.1158108052183202,174.2237354122009,121.7774401504729,12.0064496958477
5637,5.147890715943026,.1196166930891313,142.8048202666878,332.563221511416,11.6802511296916
5638,5.255158010065851,.1060580424731271,195.075111109226,91.50372036980626,12.047220808095
5648,5.154933954807649,.1650288689687603,110.1680724683656,269.1953486903067,11.7042303482991
5652,5.209122748116953,.07553559853865204,195.9975229260694,108.3318314662904,11.8892672462616
5907,5.145055689417942,.09629553519310834,209.462410791944,140.8128096345832,11.6706037039492
6002,5.219518753674168,.09285201635096732,96.61962440623491,159.682270913541,11.9248766595057
6090,5.312492427289205,.0565804362771679,172.6171166857631,72.95044445657591,12.2449125612505
6443,5.24472539290646,.1261205412806497,88.06484773322765,200.0882078319497,12.0113641380832
6545,5.143468062832322,.05092529911222651,172.5102019269316,149.6041144582654,11.6652022664136
6997,5.179726913919829,.1002827182818772,204.6556939767691,57.62841904738852,11.7887700747922
6998,5.186477635429006,.06934132282976874,158.1104350845111,258.8995499173595,11.8118239816993
7119,5.156147517940028,.1011804026349159,158.2250317936494,121.4497835541747,11.7083636675114
7152,5.15587504233513,.06295908102992927,159.819988621007,306.7830507732638,11.7074355904982
7214,5.174140336328714,.03351822620270868,193.6059972736289,218.4445277980919,11.7697031089104
7352,5.137002565744607,.03625422949509077,190.3588707180704,125.2382309168254,11.6432139045747
7543,5.188190790018855,.06283503021805362,193.6874952197642,207.7836149710522,11.817676841618
7641,5.215574576190835,.0530894581488551,104.7345843363187,229.4874270329285,11.9113624987971
7815,5.278602111086993,.05866752551605934,81.82478990327505,219.8641370600345,12.1279275229924
